Model,8303
Serial #,5275
Last Cal,08-12-2022
Channel Count,3
Date,Time,Location,Annotation,Sample Duration,Flow Rate,Laser OK,Flow OK,Temp OK,RH OK,Temp,RH,CO2,VOC,BP,Ch1 Size,Ch1 Count,Ch1 Alarm,Ch2 Size,Ch2 Count,Ch2 Alarm,Ch3 Size,Ch3 Count,Ch3 Alarm,Ch4 Size,Ch4 Count,Ch4 Alarm,Ch5 Size,Ch5 Count,Ch5 Alarm,Ch6 Size,Ch6 Count,Ch6 Alarm,CntsDiffRaw Ch1,CntsDiffRaw Ch2,CntsDiffRaw Ch3,CntsDiffFT3 Ch1,CntsDiffFT3 Ch2,CntsDiffFT3 Ch3,CntsDiffM3 Ch1,CntsDiffM3 Ch2,CntsDiffM3 Ch3,CntsCumRaw Ch1,CntsCumRaw Ch2,CntsCumRaw Ch3,CntsCumFT3 Ch1,CntsCumFT3 Ch2,CntsCumFT3 Ch3,CntsCumM3 Ch1,CntsCumM3 Ch2,CntsCumM3 Ch3,PM00.50,PM05.00,TPM,TempF
01-04-2023,00:34:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.375,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,01:35:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.25,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,02:36:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.25,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,03:37:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.25,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,04:38:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.375,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,05:39:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.1875,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,06:40:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.5625,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,07:41:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.5625,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,08:42:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.5625,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,09:43:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.6875,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,10:44:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.5625,0.30,1,0,0.50,0,0,5.00,0,0,,,,,,,,,,1,0,0,10,0,0,353,0,0,1,0,0,10,0,0,353,0,0,0.00,0.00,0.00,32
01-04-2023,11:45:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.4375,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,12:46:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.4375,0.30,10409,1,0.50,778,0,5.00,3,1,,,,,,,,,,"10,409",778,3,"1,04,104","7,781",30,"36,76,412","2,74,786","1,060","11,190",781,3,"1,11,915","7,811",30,"39,52,258","2,75,846","1,060",0.31,7.79,10.50,32
01-04-2023,13:47:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.125,0.30,126382,1,0.50,9315,1,5.00,15,1,,,,,,,,,,"1,26,382","9,315",15,"12,63,658","93,138",149,"4,46,25,669","32,89,140","5,297","1,35,712","9,330",15,"13,56,945","93,287",149,"4,79,20,104","32,94,437","5,297",3.74,93.28,106.82,32
01-04-2023,14:48:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.0625,0.30,18,0,0.50,0,0,5.00,0,0,,,,,,,,,,18,0,0,180,0,0,"6,358",0,0,18,0,0,180,0,0,"6,358",0,0,0.00,0.00,0.00,32
01-04-2023,15:49:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,99.9375,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,16:50:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,100.125,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
01-04-2023,17:51:08,Location 1,,60.000,0.1000,1,1,1,1,0,0,0,0,99.875,0.30,0,0,0.50,0,0,5.00,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,32
